Name: Rue Louis Morard, Instruction: Head southeast on Rue Louis Morard, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 103.3 meters, Time: 74.4 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 284.9 meters, Time: 205.1 seconds
Name: -, Instruction: Turn left, Distance: 120.8 meters, Time: 87.0 seconds
Name: -, Instruction: Turn right, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn left, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 427.0 meters, Time: 307.5 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: Rue des Artistes, Instruction: Turn left onto Rue des Artistes, Distance: 505.3 meters, Time: 363.8 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: Rue Boussingault, Instruction: Turn left onto Rue Boussingault, Distance: 7.6 meters, Time: 5.5 seconds
Name: Rue Boussingault, Instruction: Turn slight right onto Rue Boussingault, Distance: 527.2 meters, Time: 379.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
