Name: Dover Road, Instruction: Head northwest on Dover Road, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 350.1 meters, Time: 252.0 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight right, Distance: 61.3 meters, Time: 44.2 seconds
Name: -, Instruction: Turn left, Distance: 706.3 meters, Time: 508.5 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn slight left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 235.3 meters, Time: 169.4 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: Westbourne Road, Instruction: Turn left onto Westbourne Road, Distance: 27.9 meters, Time: 20.1 seconds
Name: Westbourne Road, Instruction: Turn right onto Westbourne Road, Distance: 224.3 meters, Time: 161.5 seconds
Name: Woking Road, Instruction: Keep left onto Woking Road, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Arrive at Woking Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
