Name: Rua Maria Francisca, Instruction: Head north on Rua Maria Francisca, Distance: 230.1 meters, Time: 165.7 seconds
Name: Rua Barão do Rio Verde, Instruction: Turn right onto Rua Barão do Rio Verde, Distance: 221.6 meters, Time: 159.6 seconds
Name: Rua Gramado, Instruction: Continue straight onto Rua Gramado, Distance: 154.1 meters, Time: 110.9 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: Alfredo Del Cima, Instruction: Turn right onto Alfredo Del Cima, Distance: 658.9 meters, Time: 474.4 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rua Gramado, Instruction: Turn slight right onto Rua Gramado, Distance: 110.4 meters, Time: 79.4 seconds
Name: Rua Amaral Costa, Instruction: Keep right onto Rua Amaral Costa, Distance: 425.9 meters, Time: 306.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.8 meters, Time: 10.7 seconds
Name: Rua Amaral Costa, Instruction: Turn slight right onto Rua Amaral Costa, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: Rua Amaral Costa, Instruction: Turn right onto Rua Amaral Costa, Distance: 98.9 meters, Time: 71.2 seconds
Name: Avenida Cesário de Melo, Instruction: Turn left onto Avenida Cesário de Melo, Distance: 195.0 meters, Time: 140.4 seconds
Name: -, Instruction: Turn left, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 54.6 meters, Time: 39.3 seconds
Name: Avenida Cesário de Melo, Instruction: Turn slight left onto Avenida Cesário de Melo, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn left, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
