Name: Evelyn Road, Instruction: Head west on Evelyn Road, Distance: 86.5 meters, Time: 62.3 seconds
Name: Acton Lane, B490, Instruction: Turn left onto Acton Lane, B490, Distance: 36.8 meters, Time: 26.5 seconds
Name: Acton Lane, Instruction: Turn right onto Acton Lane, Distance: 68.0 meters, Time: 49.0 seconds
Name: Beaumont Road, Instruction: Turn right onto Beaumont Road, Distance: 10.5 meters, Time: 7.6 seconds
Name: Church Path, Instruction: Turn left onto Church Path, Distance: 356.7 meters, Time: 256.8 seconds
Name: -, Instruction: Keep right, Distance: 84.7 meters, Time: 61.0 seconds
Name: Church Path, Instruction: Keep right onto Church Path, Distance: 94.2 meters, Time: 67.8 seconds
Name: Bollo Bridge Road, Instruction: Turn right onto Bollo Bridge Road, Distance: 1.0 meters, Time: 0.7 seconds
Name: Newton Avenue, Instruction: Turn left onto Newton Avenue, Distance: 254.6 meters, Time: 183.3 seconds
Name: Avenue Road, Instruction: Turn right onto Avenue Road, Distance: 12.7 meters, Time: 9.1 seconds
Name: Berrymead Gardens, Instruction: Turn left onto Berrymead Gardens, Distance: 273.5 meters, Time: 196.9 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 51.9 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
