Name: Avenida Repórter Nestor Moreira, Instruction: Head northwest on Avenida Repórter Nestor Moreira, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.6 seconds
Name: Ciclovia Mané Garrincha, Instruction: Turn right onto Ciclovia Mané Garrincha, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight right, Distance: 43.3 meters, Time: 31.2 seconds
Name: Ciclovia Mané Garrincha, Instruction: Keep right onto Ciclovia Mané Garrincha, Distance: 134.3 meters, Time: 96.7 seconds
Name: Ciclovia Mané Garrincha, Instruction: Keep left onto Ciclovia Mané Garrincha, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Keep left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: Lagoa/Botafogo, Instruction: Continue straight onto Lagoa/Botafogo, Distance: 99.8 meters, Time: 71.9 seconds
Name: -, Instruction: Turn slight right, Distance: 64.5 meters, Time: 46.5 seconds
Name: Lagoa/Botafogo, Instruction: Turn right onto Lagoa/Botafogo, Distance: 57.3 meters, Time: 41.2 seconds
Name: Praia de Botafogo, Instruction: Turn left onto Praia de Botafogo, Distance: 7.7 meters, Time: 5.5 seconds
Name: Rua Professor Álvaro Rodrigues, Instruction: Turn right onto Rua Professor Álvaro Rodrigues, Distance: 277.3 meters, Time: 199.7 seconds
Name: Rua Nelson Mandela, Instruction: Keep right onto Rua Nelson Mandela, Distance: 11.9 meters, Time: 8.6 seconds
Name: Rua Professor Álvaro Rodrigues, Instruction: Turn left onto Rua Professor Álvaro Rodrigues, Distance: 13.3 meters, Time: 9.5 seconds
Name: Rua Nelson Mandela, Instruction: Turn left onto Rua Nelson Mandela, Distance: 10.3 meters, Time: 7.4 seconds
Name: Rua Professor Álvaro Rodrigues, Instruction: Turn slight right onto Rua Professor Álvaro Rodrigues, Distance: 616.6 meters, Time: 443.9 seconds
Name: Lagoa/Botafogo, Instruction: Keep left onto Lagoa/Botafogo, Distance: 124.0 meters, Time: 89.3 seconds
Name: Rua Mena Barreto, Instruction: Keep left onto Rua Mena Barreto, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Arrive at Rua Mena Barreto, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
