Name: Travessa Vitorio Emanuel, Instruction: Head southeast on Travessa Vitorio Emanuel, Distance: 80.0 meters, Time: 57.6 seconds
Name: Rua Santa Sofia, Instruction: Turn sharp right onto Rua Santa Sofia, Distance: 210.3 meters, Time: 151.4 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 245.2 meters, Time: 176.5 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 115.4 meters, Time: 83.1 seconds
Name: Avenida Maracanã, Instruction: Turn left onto Avenida Maracanã, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: Avenida Maracanã, Instruction: Turn left onto Avenida Maracanã, Distance: 325.9 meters, Time: 234.7 seconds
Name: -, Instruction: Keep right, Distance: 142.0 meters, Time: 102.2 seconds
Name: Avenida Maracanã, Instruction: Turn slight right onto Avenida Maracanã, Distance: 83.0 meters, Time: 59.7 seconds
Name: -, Instruction: Keep right, Distance: 35.4 meters, Time: 25.5 seconds
Name: Rua José Higino, Instruction: Turn slight right onto Rua José Higino, Distance: 32.1 meters, Time: 23.1 seconds
Name: Rua Maria Amália, Instruction: Turn left onto Rua Maria Amália, Distance: 872.6 meters, Time: 628.3 seconds
Name: Rua Maria Amália, Instruction: Keep right onto Rua Maria Amália, Distance: 110.8 meters, Time: 79.8 seconds
Name: Rua França Júnior, Instruction: Continue straight onto Rua França Júnior, Distance: 89.0 meters, Time: 64.1 seconds
Name: Rua França Júnior, Instruction: Turn sharp left onto Rua França Júnior, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Arrive at Rua França Júnior, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
