Name: North Cathay Street, Instruction: Head south on North Cathay Street, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 70.5 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: East Kelly Place, Instruction: Turn left onto East Kelly Place, Distance: 6.1 meters, Time: 4.4 seconds
Name: North Ceylon Street, Instruction: Turn right onto North Ceylon Street, Distance: 115.8 meters, Time: 83.3 seconds
Name: East Mitchell Place, Instruction: Turn left onto East Mitchell Place, Distance: 79.7 meters, Time: 57.4 seconds
Name: North Ceylon Court, Instruction: Turn left onto North Ceylon Court, Distance: 96.5 meters, Time: 69.5 seconds
Name: North Danube Way, Instruction: Turn right onto North Danube Way, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 153.3 meters, Time: 110.3 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 189.4 meters, Time: 136.4 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 94.0 meters, Time: 67.7 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 138.2 meters, Time: 99.5 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
