Name: Rue de Cîteaux, Instruction: Head north on Rue de Cîteaux, Distance: 145.4 meters, Time: 104.6 seconds
Name: Passage Commun G/11, Instruction: Turn right onto Passage Commun G/11, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn slight right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 164.7 meters, Time: 118.6 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Keep left, Distance: 154.7 meters, Time: 111.4 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue Richard Lenoir, Instruction: Turn left onto Rue Richard Lenoir, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.4 seconds
Name: -, Instruction: Turn slight right, Distance: 59.2 meters, Time: 42.6 seconds
Name: Rue Japy, Instruction: Turn left onto Rue Japy, Distance: 5.1 meters, Time: 3.6 seconds
Name: Rue François de Neufchâteau, Instruction: Turn right onto Rue François de Neufchâteau, Distance: 456.7 meters, Time: 328.8 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 121.3 meters, Time: 87.3 seconds
Name: -, Instruction: Turn slight left, Distance: 152.0 meters, Time: 109.5 seconds
Name: -, Instruction: Turn slight right, Distance: 0.3 meters, Time: 0.2 seconds
Name: -, Instruction: Turn slight left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 0.3 meters, Time: 0.2 seconds
Name: -, Instruction: Turn right, Distance: 128.6 meters, Time: 92.6 seconds
Name: -, Instruction: Keep right, Distance: 190.6 meters, Time: 137.2 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 139.6 meters, Time: 100.5 seconds
Name: Rue des Pruniers, Instruction: Turn left onto Rue des Pruniers, Distance: 52.9 meters, Time: 38.1 seconds
Name: Place Joseph Epstein, Instruction: Continue straight onto Place Joseph Epstein, Distance: 3.9 meters, Time: 2.8 seconds
Name: Place Joseph Epstein, Instruction: Turn slight right onto Place Joseph Epstein, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
