Name: Avenida Manuel Caldeira de Alvarenga, Instruction: Head east on Avenida Manuel Caldeira de Alvarenga, Distance: 130.8 meters, Time: 94.2 seconds
Name: Estrada do Campinho, Instruction: Turn left onto Estrada do Campinho, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Keep right, Distance: 93.1 meters, Time: 67.0 seconds
Name: Rua Campo Grande, Instruction: Turn left onto Rua Campo Grande, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 212.1 meters, Time: 152.7 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rua Gramado, Instruction: Turn slight right onto Rua Gramado, Distance: 12.8 meters, Time: 9.2 seconds
Name: Avenida Maria Teresa, Instruction: Turn right onto Avenida Maria Teresa, Distance: 418.2 meters, Time: 301.1 seconds
Name: -, Instruction: Turn left, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Keep left, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Turn slight left, Distance: 9.6 meters, Time: 6.9 seconds
Name: Avenida Cesário de Melo, Instruction: Turn right onto Avenida Cesário de Melo, Distance: 98.5 meters, Time: 70.9 seconds
Name: Avenida Cesário de Melo, Instruction: Turn left onto Avenida Cesário de Melo, Distance: 132.5 meters, Time: 95.4 seconds
Name: Rua Guaraí, Instruction: Turn right onto Rua Guaraí, Distance: 124.0 meters, Time: 89.2 seconds
Name: Rua Guaraí, Instruction: Keep left onto Rua Guaraí, Distance: 271.2 meters, Time: 195.2 seconds
Name: -, Instruction: Keep right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 218.4 meters, Time: 157.3 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
