Name: Alfred Street, Instruction: Head south on Alfred Street, Distance: 45.0 meters, Time: 32.4 seconds
Name: Read Lane, Instruction: Turn right onto Read Lane, Distance: 7.2 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 200.0 meters, Time: 144.0 seconds
Name: Murray Street, Instruction: Turn left onto Murray Street, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 431.4 meters, Time: 310.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Keep left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 201.6 meters, Time: 145.1 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 383.4 meters, Time: 276.1 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
