Name: Queen Street, Instruction: Head east on Queen Street, Distance: 475.3 meters, Time: 342.2 seconds
Name: Robinson Street, Instruction: Turn right onto Robinson Street, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 120.6 meters, Time: 86.8 seconds
Name: Ivanhoe Road, Instruction: Turn right onto Ivanhoe Road, Distance: 93.8 meters, Time: 67.5 seconds
Name: Ranger Road, Instruction: Turn left onto Ranger Road, Distance: 227.3 meters, Time: 163.7 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 254.6 meters, Time: 183.3 seconds
Name: Frederick Street, Instruction: Turn left onto Frederick Street, Distance: 217.2 meters, Time: 156.4 seconds
Name: -, Instruction: Turn right, Distance: 232.3 meters, Time: 167.3 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Church Street, Instruction: Turn right onto Church Street, Distance: 71.9 meters, Time: 51.8 seconds
Name: Alt Street, Instruction: Turn left onto Alt Street, Distance: 422.5 meters, Time: 304.2 seconds
Name: -, Instruction: Turn right, Distance: 141.9 meters, Time: 102.1 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
