Name: Yachters Lane, Instruction: Head northeast on Yachters Lane, Distance: 74.9 meters, Time: 53.9 seconds
Name: Legion Road, Instruction: Turn right onto Legion Road, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep left, Distance: 234.6 meters, Time: 168.9 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn left, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn right, Distance: 269.5 meters, Time: 194.1 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 339.8 meters, Time: 244.7 seconds
Name: -, Instruction: Keep left, Distance: 353.1 meters, Time: 254.2 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 237.7 meters, Time: 171.1 seconds
Name: -, Instruction: Keep right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
