Name: Carlo Lamberti Lane, Instruction: Head east on Carlo Lamberti Lane, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: Victor Avenue, Instruction: Turn left onto Victor Avenue, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn left, Distance: 110.5 meters, Time: 79.5 seconds
Name: Logan Avenue, Instruction: Turn right onto Logan Avenue, Distance: 450.3 meters, Time: 324.2 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Keep right, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Keep left, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: Colgate Avenue, Instruction: Turn left onto Colgate Avenue, Distance: 77.0 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 816.6 meters, Time: 587.9 seconds
Name: Lake Shore Boulevard Recreational Trail, Instruction: Turn right onto Lake Shore Boulevard Recreational Trail, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
