Name: London Road, A237, Instruction: Head northwest on London Road, A237, Distance: 60.7 meters, Time: 43.7 seconds
Name: Medland Close, Instruction: Turn left onto Medland Close, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.1 meters, Time: 19.5 seconds
Name: London Road, A237, Instruction: Turn left onto London Road, A237, Distance: 100.5 meters, Time: 72.4 seconds
Name: New Road, Instruction: Turn left onto New Road, Distance: 82.6 meters, Time: 59.5 seconds
Name: Wolseley Road, Instruction: Turn right onto Wolseley Road, Distance: 433.0 meters, Time: 311.7 seconds
Name: Mill Green Road, Instruction: Turn left onto Mill Green Road, Distance: 205.2 meters, Time: 147.8 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.3 seconds
Name: -, Instruction: Turn slight left, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Keep right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: Watermead Lane, Instruction: Turn left onto Watermead Lane, Distance: 731.5 meters, Time: 526.6 seconds
Name: -, Instruction: Keep right, Distance: 112.3 meters, Time: 80.8 seconds
Name: -, Instruction: Turn slight right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 301.6 meters, Time: 217.2 seconds
Name: -, Instruction: Turn left, Distance: 110.2 meters, Time: 79.4 seconds
Name: -, Instruction: Turn right, Distance: 74.3 meters, Time: 53.5 seconds
Name: London Road, Instruction: Turn right onto London Road, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 48.7 meters, Time: 35.1 seconds
Name: Riverside Drive, Instruction: Turn right onto Riverside Drive, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Arrive at Riverside Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
