Name: Accès Parking du Pont de l'Europe, Instruction: Head southeast on Accès Parking du Pont de l'Europe, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.5 seconds
Name: Rue Abel-Truchet, Instruction: Turn left onto Rue Abel-Truchet, Distance: 61.4 meters, Time: 44.2 seconds
Name: Rue Caroline, Instruction: Turn right onto Rue Caroline, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight left, Distance: 34.0 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 144.5 meters, Time: 104.1 seconds
Name: -, Instruction: Turn left, Distance: 194.7 meters, Time: 140.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: Avenue de Clichy, Instruction: Turn left onto Avenue de Clichy, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
