Name: Tarentaal Road, Instruction: Head east on Tarentaal Road, Distance: 845.8 meters, Time: 609.0 seconds
Name: -, Instruction: Turn left, Distance: 201.0 meters, Time: 144.7 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight left, Distance: 20.9 meters, Time: 15.0 seconds
Name: Jakes Gerwel Drive, M7, Instruction: Turn left onto Jakes Gerwel Drive, M7, Distance: 330.6 meters, Time: 238.0 seconds
Name: -, Instruction: Keep right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 197.8 meters, Time: 142.4 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.6 seconds
Name: Fort Calata Road, Instruction: Turn right onto Fort Calata Road, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Keep left, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.6 seconds
Name: Arnold Ofile Road, Instruction: Turn right onto Arnold Ofile Road, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 61.1 meters, Time: 44.0 seconds
Name: Moses Mabhida Road, Instruction: Turn right onto Moses Mabhida Road, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn slight right, Distance: 46.8 meters, Time: 33.7 seconds
Name: Tony Yengeni Road, Instruction: Turn right onto Tony Yengeni Road, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
