Name: Wenderly Drive, Instruction: Head west on Wenderly Drive, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Keep left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 758.1 meters, Time: 545.8 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 106.3 meters, Time: 76.5 seconds
Name: Samor Road, Instruction: Turn left onto Samor Road, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 213.7 meters, Time: 153.9 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 39.9 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 225.4 meters, Time: 162.3 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: Bentworth Avenue, Instruction: Turn left onto Bentworth Avenue, Distance: 89.1 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 203.1 meters, Time: 146.2 seconds
Name: Cartwright Avenue, Instruction: Turn left onto Cartwright Avenue, Distance: 421.7 meters, Time: 303.6 seconds
Name: -, Instruction: Keep left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
