Name: Holland Circle, Instruction: Head northeast on Holland Circle, Distance: 165.4 meters, Time: 119.1 seconds
Name: Hoyt Street, Instruction: Turn left onto Hoyt Street, Distance: 137.4 meters, Time: 98.9 seconds
Name: -, Instruction: Turn right, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 366.0 meters, Time: 263.5 seconds
Name: -, Instruction: Turn left, Distance: 78.8 meters, Time: 56.7 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: West 99th Avenue, Instruction: Turn left onto West 99th Avenue, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
