Name: William Street, Instruction: Head west on William Street, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: Galbraith Walkway, Instruction: Turn right onto Galbraith Walkway, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Continue straight, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: Cross Street, Instruction: Turn left onto Cross Street, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: Knox Lane, Instruction: Turn sharp left onto Knox Lane, Distance: 17.2 meters, Time: 12.3 seconds
Name: Knox Arcade, Instruction: Turn right onto Knox Arcade, Distance: 37.5 meters, Time: 27.0 seconds
Name: Knox Street, Instruction: Turn left onto Knox Street, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 165.1 meters, Time: 118.9 seconds
Name: -, Instruction: Keep right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 582.2 meters, Time: 419.2 seconds
Name: -, Instruction: Turn right, Distance: 60.4 meters, Time: 43.5 seconds
Name: Wallaroy Road, Instruction: Turn left onto Wallaroy Road, Distance: 136.3 meters, Time: 98.1 seconds
Name: Wallaroy Road, Instruction: Continue straight onto Wallaroy Road, Distance: 433.4 meters, Time: 312.1 seconds
Name: Edgecliff Road, Instruction: Turn slight right onto Edgecliff Road, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 323.6 meters, Time: 233.0 seconds
Name: Wallis Street, Instruction: Turn right onto Wallis Street, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Continue straight, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Keep right, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
