Name: شارع زايد عوف, Instruction: Head northeast on شارع زايد عوف, Distance: 10.2 meters, Time: 7.3 seconds
Name: شارع سكة, Instruction: Turn left onto شارع سكة, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn left, Distance: 66.5 meters, Time: 47.9 seconds
Name: شارع الشعراوي, Instruction: Turn left onto شارع الشعراوي, Distance: 314.9 meters, Time: 226.7 seconds
Name: -, Instruction: Turn right, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 731.5 meters, Time: 526.7 seconds
Name: شارع الهادي البشير, Instruction: Turn right onto شارع الهادي البشير, Distance: 200.5 meters, Time: 144.4 seconds
Name: شارع السد العالى, Instruction: Turn left onto شارع السد العالى, Distance: 104.7 meters, Time: 75.3 seconds
Name: شارع الاربعين, Instruction: Turn right onto شارع الاربعين, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
