Name: Nestroystraße, Instruction: Head east on Nestroystraße, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn right, Distance: 104.4 meters, Time: 75.2 seconds
Name: Ortlerstraße, Instruction: Turn left onto Ortlerstraße, Distance: 193.3 meters, Time: 139.2 seconds
Name: Diepoldstraße, Instruction: Turn right onto Diepoldstraße, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 91.9 meters, Time: 66.2 seconds
Name: Meindlstraße, Instruction: Turn left onto Meindlstraße, Distance: 2.9 meters, Time: 2.1 seconds
Name: Margaretenplatz, Instruction: Turn sharp right onto Margaretenplatz, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 100.1 meters, Time: 72.1 seconds
Name: Kidlerstraße, Instruction: Turn left onto Kidlerstraße, Distance: 123.4 meters, Time: 88.9 seconds
Name: -, Instruction: Arrive at Kidlerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
