Name: Lamar Street, Instruction: Head southeast on Lamar Street, Distance: 28.8 meters, Time: 20.7 seconds
Name: Marshall Place, Instruction: Turn right onto Marshall Place, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn left, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn right, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 121.2 meters, Time: 87.2 seconds
Name: West 91st Avenue, Instruction: Turn left onto West 91st Avenue, Distance: 75.8 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: West 91st Avenue, Instruction: Turn left onto West 91st Avenue, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
