Name: Linnsmore Crescent, Instruction: Head north on Linnsmore Crescent, Distance: 6.9 meters, Time: 5.0 seconds
Name: Glebeholme Boulevard, Instruction: Turn right onto Glebeholme Boulevard, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 205.5 meters, Time: 148.0 seconds
Name: -, Instruction: Keep right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Monarch Park Avenue, Instruction: Turn left onto Monarch Park Avenue, Distance: 256.3 meters, Time: 184.5 seconds
Name: Queensdale Avenue, Instruction: Turn right onto Queensdale Avenue, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 347.7 meters, Time: 250.3 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Keep left, Distance: 133.4 meters, Time: 96.0 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Keep left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Keep right, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Keep right, Distance: 94.2 meters, Time: 67.8 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Keep left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Binswood Avenue, Instruction: Turn left onto Binswood Avenue, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Barker Avenue, Instruction: Turn right onto Barker Avenue, Distance: 126.5 meters, Time: 91.1 seconds
Name: -, Instruction: Turn left, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: Glebemount Avenue, Instruction: Keep left onto Glebemount Avenue, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Arrive at Glebemount Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
