Name: Govett Lane, Instruction: Head west on Govett Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: King Street, Instruction: Turn left onto King Street, Distance: 60.9 meters, Time: 43.8 seconds
Name: Barden Lane, Instruction: Turn right onto Barden Lane, Distance: 194.4 meters, Time: 139.9 seconds
Name: Cowper Street, Instruction: Turn left onto Cowper Street, Distance: 21.4 meters, Time: 15.4 seconds
Name: Cook Street, Instruction: Turn right onto Cook Street, Distance: 395.0 meters, Time: 284.4 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn slight left, Distance: 469.7 meters, Time: 338.2 seconds
Name: Belmore Road, Instruction: Turn left onto Belmore Road, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 138.0 meters, Time: 99.3 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.7 seconds
Name: Aeolia Street, Instruction: Turn left onto Aeolia Street, Distance: 118.0 meters, Time: 85.0 seconds
Name: -, Instruction: Arrive at Aeolia Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
