Name: Ancaster Road, Instruction: Head south on Ancaster Road, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Katherine Road, Instruction: Turn right onto Katherine Road, Distance: 204.9 meters, Time: 147.5 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: Garratt Boulevard, Instruction: Turn left onto Garratt Boulevard, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Keep right, Distance: 270.9 meters, Time: 195.1 seconds
Name: -, Instruction: Keep left, Distance: 748.4 meters, Time: 538.8 seconds
Name: -, Instruction: Turn right, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 299.3 meters, Time: 215.5 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
