Name: شارع نجيب محفوظ, Instruction: Head northwest on شارع نجيب محفوظ, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 129.3 meters, Time: 93.1 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 331.3 meters, Time: 238.5 seconds
Name: -, Instruction: Turn right, Distance: 155.1 meters, Time: 111.7 seconds
Name: -, Instruction: Turn right, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn slight right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Keep right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Keep left, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 116.6 meters, Time: 84.0 seconds
Name: شارع الرحاب, Instruction: Enter the roundabout and take the 1st exit onto شارع الرحاب, Distance: 62.7 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn left, Distance: 29.0 meters, Time: 20.9 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 54.9 meters, Time: 39.5 seconds
Name: شارع عثمان بن عفان, Instruction: Enter the roundabout and take the 2nd exit onto شارع عثمان بن عفان, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: شارع عثمان بن عفان, Instruction: Turn right onto شارع عثمان بن عفان, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 103.5 meters, Time: 74.5 seconds
Name: شارع ابن الهيثم, Instruction: Turn right onto شارع ابن الهيثم, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: شارع ابن الهيثم, Instruction: Turn right onto شارع ابن الهيثم, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
