Name: Meeks Street Plaza, Instruction: Head west on Meeks Street Plaza, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 235.6 meters, Time: 169.6 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 36.9 meters, Time: 26.5 seconds
Name: -, Instruction: Turn slight left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 235.1 meters, Time: 169.3 seconds
Name: Colenso Crescent, Instruction: Turn left onto Colenso Crescent, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 159.0 meters, Time: 114.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
