Name: Albrecht Avenue, Instruction: Head southeast on Albrecht Avenue, Distance: 16.3 meters, Time: 11.7 seconds
Name: Molley Green Place, Instruction: Turn left onto Molley Green Place, Distance: 233.2 meters, Time: 167.9 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 153.5 meters, Time: 110.5 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.6 seconds
Name: -, Instruction: Continue straight, Distance: 232.4 meters, Time: 167.3 seconds
Name: -, Instruction: Keep left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight left, Distance: 252.7 meters, Time: 182.0 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep right, Distance: 207.6 meters, Time: 149.5 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Keep right, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
