Name: Riesenfeldstraße, Instruction: Head north on Riesenfeldstraße, Distance: 71.7 meters, Time: 51.6 seconds
Name: Kantstraße, Instruction: Turn right onto Kantstraße, Distance: 477.3 meters, Time: 343.6 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: Nietzschestraße, Instruction: Turn right onto Nietzschestraße, Distance: 4.7 meters, Time: 3.4 seconds
Name: Kantstraße, Instruction: Turn slight left onto Kantstraße, Distance: 271.8 meters, Time: 195.7 seconds
Name: -, Instruction: Turn slight left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Keep left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Keep right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn slight left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Keep right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Keep right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 132.0 meters, Time: 95.0 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Abtstraße, Instruction: Turn left onto Abtstraße, Distance: 268.7 meters, Time: 193.5 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Turn right, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.8 seconds
Name: -, Instruction: Turn right, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
