Name: Strathmore Boulevard, Instruction: Head west on Strathmore Boulevard, Distance: 111.6 meters, Time: 80.3 seconds
Name: Oakdene Crescent, Instruction: Turn right onto Oakdene Crescent, Distance: 185.8 meters, Time: 133.8 seconds
Name: -, Instruction: Turn left, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: Glebeholme Boulevard, Instruction: Turn left onto Glebeholme Boulevard, Distance: 51.3 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 263.2 meters, Time: 189.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Keep left, Distance: 84.5 meters, Time: 60.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
