Name: South Olathe Way, Instruction: Head north on South Olathe Way, Distance: 157.4 meters, Time: 113.3 seconds
Name: South Olathe Street, Instruction: Turn right onto South Olathe Street, Distance: 135.6 meters, Time: 97.6 seconds
Name: South Ouray Street, Instruction: Turn left onto South Ouray Street, Distance: 36.9 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Keep right, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 249.8 meters, Time: 179.8 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 231.5 meters, Time: 166.7 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 98.5 meters, Time: 71.0 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
