Name: Rue Rivay, Instruction: Head northwest on Rue Rivay, Distance: 35.6 meters, Time: 25.6 seconds
Name: Rue Charles Deutschmann, Instruction: Turn left onto Rue Charles Deutschmann, Distance: 90.1 meters, Time: 64.9 seconds
Name: Rue du Président Wilson, Instruction: Turn left onto Rue du Président Wilson, Distance: 12.8 meters, Time: 9.2 seconds
Name: Avenue Georges Pompidou, Instruction: Turn right onto Avenue Georges Pompidou, Distance: 34.8 meters, Time: 25.1 seconds
Name: Avenue Georges Pompidou, Instruction: Keep right onto Avenue Georges Pompidou, Distance: 64.0 meters, Time: 46.1 seconds
Name: Avenue Georges Pompidou, Instruction: Turn left onto Avenue Georges Pompidou, Distance: 5.8 meters, Time: 4.2 seconds
Name: Avenue Georges Pompidou, Instruction: Turn right onto Avenue Georges Pompidou, Distance: 42.0 meters, Time: 30.2 seconds
Name: Place Georges Pompidou, Instruction: Turn right onto Place Georges Pompidou, Distance: 57.6 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: Allée Picasso, Instruction: Turn left onto Allée Picasso, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 161.7 meters, Time: 116.4 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight right, Distance: 511.6 meters, Time: 368.4 seconds
Name: -, Instruction: Turn right, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn right, Distance: 311.1 meters, Time: 224.0 seconds
Name: Rue Armand Silvestre, Instruction: Keep left onto Rue Armand Silvestre, Distance: 15.0 meters, Time: 10.8 seconds
Name: Rue Armand Silvestre, Instruction: Continue straight onto Rue Armand Silvestre, Distance: 201.1 meters, Time: 144.8 seconds
Name: -, Instruction: Turn left, Distance: 87.3 meters, Time: 62.8 seconds
Name: Rue Volta, Instruction: Turn right onto Rue Volta, Distance: 27.6 meters, Time: 19.9 seconds
Name: Rue Hudri, Instruction: Turn right onto Rue Hudri, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Arrive at Rue Hudri, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
