Name: Mayford Road, Instruction: Head north on Mayford Road, Distance: 43.9 meters, Time: 31.6 seconds
Name: Airedale Road, Instruction: Turn left onto Airedale Road, Distance: 202.1 meters, Time: 145.5 seconds
Name: Ravenslea Road, Instruction: Turn right onto Ravenslea Road, Distance: 219.3 meters, Time: 157.9 seconds
Name: Nightingale Lane, B237, Instruction: Turn left onto Nightingale Lane, B237, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 422.7 meters, Time: 304.4 seconds
Name: -, Instruction: Turn left, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn slight left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 275.7 meters, Time: 198.5 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.8 seconds
Name: John Archer Way, Instruction: Keep left onto John Archer Way, Distance: 287.9 meters, Time: 207.3 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn slight right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
