Name: Rue des Arbustes, Instruction: Head west on Rue des Arbustes, Distance: 233.5 meters, Time: 168.1 seconds
Name: Rue Alfred Durand-Claye, Instruction: Turn right onto Rue Alfred Durand-Claye, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn slight left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: Rue Castagnary, Instruction: Turn sharp left onto Rue Castagnary, Distance: 2.4 meters, Time: 1.8 seconds
Name: Rue Fizeau, Instruction: Turn right onto Rue Fizeau, Distance: 227.8 meters, Time: 164.0 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 142.6 meters, Time: 102.7 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue des Morillons, Instruction: Turn left onto Rue des Morillons, Distance: 87.4 meters, Time: 63.0 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 160.7 meters, Time: 115.7 seconds
Name: -, Instruction: Turn slight right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
