Name: Reginbaldstraße, Instruction: Head west on Reginbaldstraße, Distance: 74.6 meters, Time: 53.7 seconds
Name: Döbereinerstraße, Instruction: Turn right onto Döbereinerstraße, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Keep left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn slight left, Distance: 70.8 meters, Time: 50.9 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 206.1 meters, Time: 148.4 seconds
Name: -, Instruction: Turn right, Distance: 312.9 meters, Time: 225.3 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Heerstraße, Instruction: Turn left onto Heerstraße, Distance: 6.5 meters, Time: 4.7 seconds
Name: Karwinskistraße, Instruction: Turn right onto Karwinskistraße, Distance: 459.9 meters, Time: 331.1 seconds
Name: Wöhlerstraße, Instruction: Turn left onto Wöhlerstraße, Distance: 309.8 meters, Time: 223.1 seconds
Name: Rathochstraße, Instruction: Turn right onto Rathochstraße, Distance: 279.9 meters, Time: 201.5 seconds
Name: An der Würm, Instruction: Turn left onto An der Würm, Distance: 115.4 meters, Time: 83.1 seconds
Name: -, Instruction: Arrive at An der Würm, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
