Name: شارع هدى سلطان, Instruction: Head southwest on شارع هدى سلطان, Distance: 42.1 meters, Time: 30.3 seconds
Name: شارع عمر خورشيد, Instruction: Turn left onto شارع عمر خورشيد, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn slight left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn left, Distance: 248.7 meters, Time: 179.0 seconds
Name: -, Instruction: Keep left, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 75.1 meters, Time: 54.1 seconds
Name: شارع الحريه, Instruction: Turn slight left onto شارع الحريه, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
