Name: Calle Ingenio Zacatepec, Instruction: Head northwest on Calle Ingenio Zacatepec, Distance: 521.6 meters, Time: 375.6 seconds
Name: Calzada del Hueso, Instruction: Turn left onto Calzada del Hueso, Distance: 183.6 meters, Time: 132.2 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 22.9 seconds
Name: Calzada del Hueso, Instruction: Turn right onto Calzada del Hueso, Distance: 175.2 meters, Time: 126.2 seconds
Name: -, Instruction: Keep left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Keep right, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Keep left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Keep right, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Keep right, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: Calzada del Hueso, Instruction: Turn left onto Calzada del Hueso, Distance: 52.4 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 122.7 meters, Time: 88.4 seconds
Name: Calzada del Hueso, Instruction: Turn right onto Calzada del Hueso, Distance: 428.6 meters, Time: 308.6 seconds
Name: -, Instruction: Turn right, Distance: 293.0 meters, Time: 211.0 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
