Name: Joseph Banks Terrace, Instruction: Head southwest on Joseph Banks Terrace, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Turn right, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Keep left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 207.6 meters, Time: 149.5 seconds
Name: -, Instruction: Turn slight left, Distance: 582.7 meters, Time: 419.6 seconds
Name: -, Instruction: Keep right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 355.1 meters, Time: 255.7 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn slight left, Distance: 118.2 meters, Time: 85.1 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.8 seconds
Name: -, Instruction: Turn slight left, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Turn right, Distance: 223.9 meters, Time: 161.2 seconds
Name: -, Instruction: Turn slight right, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Continue straight, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
