Name: Palmerston Square, Instruction: Head east on Palmerston Square, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn right, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 162.2 meters, Time: 116.8 seconds
Name: -, Instruction: Turn right, Distance: 55.6 meters, Time: 40.0 seconds
Name: Old Crookshanks Lane, Instruction: Turn left onto Old Crookshanks Lane, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: Wells Street, Instruction: Turn right onto Wells Street, Distance: 250.2 meters, Time: 180.1 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Keep right, Distance: 98.8 meters, Time: 71.2 seconds
Name: Kendal Avenue, Instruction: Turn left onto Kendal Avenue, Distance: 288.7 meters, Time: 207.8 seconds
Name: -, Instruction: Arrive at Kendal Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
