Name: West End Lane, B510, Instruction: Head southeast on West End Lane, B510, Distance: 353.0 meters, Time: 254.2 seconds
Name: Priory Terrace, Instruction: Turn right onto Priory Terrace, Distance: 186.8 meters, Time: 134.5 seconds
Name: -, Instruction: Turn right, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 84.7 meters, Time: 61.0 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: Kilburn Priory, Instruction: Turn right onto Kilburn Priory, Distance: 41.3 meters, Time: 29.7 seconds
Name: Mortimer Place, Instruction: Turn left onto Mortimer Place, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 82.7 meters, Time: 59.5 seconds
Name: Greville Road, Instruction: Turn left onto Greville Road, Distance: 405.1 meters, Time: 291.6 seconds
Name: Carlton Hill, Instruction: Turn right onto Carlton Hill, Distance: 55.4 meters, Time: 39.9 seconds
Name: Hamilton Terrace, Instruction: Turn left onto Hamilton Terrace, Distance: 191.2 meters, Time: 137.7 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Hamilton Terrace, Instruction: Turn left onto Hamilton Terrace, Distance: 204.8 meters, Time: 147.4 seconds
Name: -, Instruction: Arrive at Hamilton Terrace, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
