Name: Bruce Ferguson Avenue, Instruction: Head east on Bruce Ferguson Avenue, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 128.8 meters, Time: 92.7 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 237.0 meters, Time: 170.7 seconds
Name: -, Instruction: Turn slight left, Distance: 254.1 meters, Time: 182.9 seconds
Name: -, Instruction: Turn slight left, Distance: 17.6 meters, Time: 12.7 seconds
Name: Borneo Street, Instruction: Turn sharp right onto Borneo Street, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at Borneo Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
