Name: Doctor Abdurahman Avenue, Instruction: Head northwest on Doctor Abdurahman Avenue, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 183.7 meters, Time: 132.3 seconds
Name: -, Instruction: Turn left, Distance: 59.7 meters, Time: 43.0 seconds
Name: Eland Street, Instruction: Turn right onto Eland Street, Distance: 296.9 meters, Time: 213.8 seconds
Name: -, Instruction: Continue straight, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Keep right, Distance: 201.6 meters, Time: 145.1 seconds
Name: Sage Crescent, Instruction: Turn slight right onto Sage Crescent, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Keep right, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn slight right, Distance: 57.2 meters, Time: 41.2 seconds
Name: Loerie Road, Instruction: Turn sharp left onto Loerie Road, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Turn right, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Turn right, Distance: 102.6 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Keep left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 433.9 meters, Time: 312.4 seconds
Name: -, Instruction: Turn right, Distance: 131.4 meters, Time: 94.6 seconds
Name: Malamba Way, Instruction: Turn left onto Malamba Way, Distance: 207.8 meters, Time: 149.6 seconds
Name: -, Instruction: Continue straight, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Keep right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Keep right, Distance: 127.0 meters, Time: 91.4 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: Lerotholi Avenue, Instruction: Turn left onto Lerotholi Avenue, Distance: 3.9 meters, Time: 2.8 seconds
Name: Lerotholi Avenue, Instruction: Continue straight onto Lerotholi Avenue, Distance: 230.2 meters, Time: 165.7 seconds
Name: -, Instruction: Turn left, Distance: 121.4 meters, Time: 87.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
