Name: Rue Paul Klee, Instruction: Head east on Rue Paul Klee, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 289.4 meters, Time: 208.4 seconds
Name: -, Instruction: Turn right, Distance: 559.2 meters, Time: 402.6 seconds
Name: -, Instruction: Keep left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Keep left, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn slight right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 250.3 meters, Time: 180.2 seconds
Name: Avenue Stephen Pichon, Instruction: Turn left onto Avenue Stephen Pichon, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Fagon, Instruction: Enter the roundabout and take the 1st exit onto Rue Fagon, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Place d'Italie, Instruction: Turn right onto Place d'Italie, Distance: 77.0 meters, Time: 55.5 seconds
Name: -, Instruction: Arrive at Place d'Italie, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
