Name: Rue Alphonse Penaud, Instruction: Head northwest on Rue Alphonse Penaud, Distance: 70.5 meters, Time: 50.7 seconds
Name: Rue Étienne Marey, Instruction: Turn right onto Rue Étienne Marey, Distance: 304.8 meters, Time: 219.4 seconds
Name: Avenue Gambetta, Instruction: Turn right onto Avenue Gambetta, Distance: 8.3 meters, Time: 6.0 seconds
Name: Rue Haxo, Instruction: Keep left onto Rue Haxo, Distance: 482.6 meters, Time: 347.5 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 167.4 meters, Time: 120.5 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
