Name: Redpath Avenue, Instruction: Head north on Redpath Avenue, Distance: 379.4 meters, Time: 273.2 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 169.1 meters, Time: 121.8 seconds
Name: -, Instruction: Turn left, Distance: 388.3 meters, Time: 279.6 seconds
Name: -, Instruction: Turn right, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 140.8 meters, Time: 101.4 seconds
Name: -, Instruction: Turn left, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Turn right, Distance: 165.4 meters, Time: 119.1 seconds
Name: Albertus Avenue, Instruction: Turn left onto Albertus Avenue, Distance: 4.5 meters, Time: 3.2 seconds
Name: Duplex Avenue, Instruction: Turn right onto Duplex Avenue, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 192.4 meters, Time: 138.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
