Name: Quai de Grenelle, Instruction: Head southwest on Quai de Grenelle, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 96.3 meters, Time: 69.4 seconds
Name: -, Instruction: Turn slight right, Distance: 108.8 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Keep left, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
