Name: Barton Avenue, Instruction: Head east on Barton Avenue, Distance: 0.2 meters, Time: 0.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn slight left, Distance: 199.4 meters, Time: 143.6 seconds
Name: Pendrith Lane, Instruction: Turn right onto Pendrith Lane, Distance: 56.0 meters, Time: 40.3 seconds
Name: Lillian Greene Lane, Instruction: Turn left onto Lillian Greene Lane, Distance: 153.8 meters, Time: 110.8 seconds
Name: -, Instruction: Turn right, Distance: 251.6 meters, Time: 181.1 seconds
Name: -, Instruction: Turn left, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Keep right, Distance: 91.3 meters, Time: 65.7 seconds
Name: Melville Avenue, Instruction: Turn left onto Melville Avenue, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 186.4 meters, Time: 134.2 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 299.3 meters, Time: 215.5 seconds
Name: -, Instruction: Turn right, Distance: 102.3 meters, Time: 73.6 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Keep right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
