Name: Harding Avenue, Instruction: Head north on Harding Avenue, Distance: 287.1 meters, Time: 206.7 seconds
Name: Gollan Road, Instruction: Turn right onto Gollan Road, Distance: 262.5 meters, Time: 189.0 seconds
Name: Gollan Road, Instruction: Turn slight right onto Gollan Road, Distance: 129.3 meters, Time: 93.1 seconds
Name: Gollan Road Pedestrian Walkway, Instruction: Turn right onto Gollan Road Pedestrian Walkway, Distance: 311.8 meters, Time: 224.5 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: Papango Street, Instruction: Turn left onto Papango Street, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 68.7 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Fynes Avenue, Instruction: Turn right onto Fynes Avenue, Distance: 71.6 meters, Time: 51.5 seconds
Name: Stonemason Avenue, Instruction: Turn left onto Stonemason Avenue, Distance: 52.5 meters, Time: 37.8 seconds
Name: Stonemason Avenue, Instruction: Enter the roundabout and take the 3rd exit onto Stonemason Avenue, Distance: 260.1 meters, Time: 187.3 seconds
Name: Stonemason Avenue, Instruction: Keep right onto Stonemason Avenue, Distance: 21.1 meters, Time: 15.2 seconds
Name: Stonemason Avenue, Instruction: Enter the roundabout and take the 3rd exit onto Stonemason Avenue, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
