Name: Lamb's Conduit Street, Instruction: Head south on Lamb's Conduit Street, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 18.3 meters, Time: 13.2 seconds
Name: Theobalds Road, Instruction: Turn right onto Theobalds Road, Distance: 183.5 meters, Time: 132.1 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Keep left, Distance: 76.3 meters, Time: 55.0 seconds
Name: -, Instruction: Turn slight right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Keep right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Keep left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
