Name: Lordsmead Road, Instruction: Head south on Lordsmead Road, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 693.4 meters, Time: 499.2 seconds
Name: -, Instruction: Continue straight, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Continue straight, Distance: 297.7 meters, Time: 214.3 seconds
Name: -, Instruction: Turn slight left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn right, Distance: 428.1 meters, Time: 308.2 seconds
Name: -, Instruction: Keep left, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Keep right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Keep right, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 238.6 meters, Time: 171.8 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
