Name: BG, Instruction: Head southeast on BG, Distance: 40.6 meters, Time: 29.2 seconds
Name: 36, Instruction: Turn right onto 36, Distance: 18.9 meters, Time: 13.6 seconds
Name: 36, Instruction: Turn left onto 36, Distance: 12.0 meters, Time: 8.6 seconds
Name: The Carriageway, Instruction: Turn left onto The Carriageway, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Continue straight, Distance: 168.5 meters, Time: 121.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 102.3 meters, Time: 73.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Marshall Avenue, Instruction: Enter the roundabout and take the 2nd exit onto Marshall Avenue, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
