Name: Calle Eleuterio Méndez, Instruction: Head west on Calle Eleuterio Méndez, Distance: 287.0 meters, Time: 206.6 seconds
Name: Calle Edzná, Instruction: Turn left onto Calle Edzná, Distance: 166.4 meters, Time: 119.8 seconds
Name: Calle Miguel Laurent, Instruction: Turn right onto Calle Miguel Laurent, Distance: 457.0 meters, Time: 329.0 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn slight right, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.5 seconds
Name: -, Instruction: Turn left, Distance: 167.4 meters, Time: 120.5 seconds
Name: -, Instruction: Turn right, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
