Name: Elwyn Road, Instruction: Head north on Elwyn Road, Distance: 80.0 meters, Time: 57.6 seconds
Name: Port Jackson Road, Instruction: Turn sharp left onto Port Jackson Road, Distance: 178.0 meters, Time: 128.1 seconds
Name: Unity Road, Instruction: Turn right onto Unity Road, Distance: 255.4 meters, Time: 183.9 seconds
Name: Brand Road, Instruction: Turn left onto Brand Road, Distance: 180.6 meters, Time: 130.1 seconds
Name: Belgravia Road, Instruction: Turn right onto Belgravia Road, Distance: 422.1 meters, Time: 303.9 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn slight left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Keep left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
