Name: Evelyn Avenue, Instruction: Head southeast on Evelyn Avenue, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 768.6 meters, Time: 553.4 seconds
Name: -, Instruction: Turn right, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Turn left, Distance: 438.9 meters, Time: 316.0 seconds
Name: -, Instruction: Turn slight left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Continue straight, Distance: 515.9 meters, Time: 371.4 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 90.8 meters, Time: 65.4 seconds
Name: Burleigh Street, Instruction: Turn right onto Burleigh Street, Distance: 161.2 meters, Time: 116.1 seconds
Name: Belmore Street, Instruction: Turn left onto Belmore Street, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
