Name: Dee Street, Instruction: Head west on Dee Street, Distance: 116.1 meters, Time: 83.6 seconds
Name: Ettrick Street, Instruction: Turn right onto Ettrick Street, Distance: 54.2 meters, Time: 39.0 seconds
Name: Ettrick Street, Instruction: Turn left onto Ettrick Street, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Keep left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.4 seconds
Name: Dewberry Street, Instruction: Turn left onto Dewberry Street, Distance: 57.6 meters, Time: 41.5 seconds
Name: Dewberry Street, Instruction: Turn right onto Dewberry Street, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.3 seconds
Name: Spey Street, Instruction: Turn left onto Spey Street, Distance: 18.8 meters, Time: 13.5 seconds
Name: St Leonard's Road, Instruction: Turn right onto St Leonard's Road, Distance: 33.3 meters, Time: 23.9 seconds
Name: Bright Street, Instruction: Turn left onto Bright Street, Distance: 162.3 meters, Time: 116.9 seconds
Name: Hay Currie Street, Instruction: Turn left onto Hay Currie Street, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 77.7 meters, Time: 55.9 seconds
Name: Chrisp Street, Instruction: Turn right onto Chrisp Street, Distance: 112.5 meters, Time: 81.0 seconds
Name: Chrisp Street, Instruction: Turn right onto Chrisp Street, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Arrive at Chrisp Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
