Name: Aklander Rise, Instruction: Head northeast on Aklander Rise, Distance: 7.2 meters, Time: 5.2 seconds
Name: Lime Hill Rise, Instruction: Turn left onto Lime Hill Rise, Distance: 157.3 meters, Time: 113.2 seconds
Name: Piwari Place, Instruction: Turn right onto Piwari Place, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn right, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Continue straight, Distance: 196.3 meters, Time: 141.3 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Drumconnell Drive, Instruction: Turn right onto Drumconnell Drive, Distance: 83.8 meters, Time: 60.3 seconds
Name: Drumconnell Drive, Instruction: Turn slight right onto Drumconnell Drive, Distance: 173.5 meters, Time: 124.9 seconds
Name: Greenan Drive, Instruction: Enter the roundabout and take the 1st exit onto Greenan Drive, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: Castlebane Drive, Instruction: Turn left onto Castlebane Drive, Distance: 609.0 meters, Time: 438.5 seconds
Name: Flat Bush School Road, Instruction: Turn left onto Flat Bush School Road, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 140.3 meters, Time: 101.0 seconds
Name: -, Instruction: Turn left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn right, Distance: 252.2 meters, Time: 181.6 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
