Name: Merton Road, A219, Instruction: Head southeast on Merton Road, A219, Distance: 21.6 meters, Time: 15.5 seconds
Name: Quicks Road, Instruction: Turn left onto Quicks Road, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 325.8 meters, Time: 234.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight left, Distance: 337.7 meters, Time: 243.2 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Keep right, Distance: 330.6 meters, Time: 238.0 seconds
Name: -, Instruction: Continue straight, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Continue straight, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 176.8 meters, Time: 127.3 seconds
Name: -, Instruction: Turn left, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Keep right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Continue straight, Distance: 210.5 meters, Time: 151.6 seconds
Name: -, Instruction: Keep right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn slight right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Keep left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Mortlake Drive, Instruction: Turn left onto Mortlake Drive, Distance: 5.1 meters, Time: 3.7 seconds
Name: Mortlake Drive, Instruction: Turn right onto Mortlake Drive, Distance: 43.1 meters, Time: 31.0 seconds
Name: Silbury Avenue, Instruction: Turn left onto Silbury Avenue, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
