Name: Privada Capirote, Instruction: Head east on Privada Capirote, Distance: 7.0 meters, Time: 5.1 seconds
Name: Calzada Acueducto, Instruction: Turn right onto Calzada Acueducto, Distance: 115.4 meters, Time: 83.1 seconds
Name: Calle González Aragón, Instruction: Keep right onto Calle González Aragón, Distance: 32.0 meters, Time: 23.1 seconds
Name: Calle de Palma, Instruction: Turn right onto Calle de Palma, Distance: 122.4 meters, Time: 88.1 seconds
Name: Calzada México-Xochimilco, Instruction: Turn right onto Calzada México-Xochimilco, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 190.2 meters, Time: 136.9 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn left onto Boulevard Adolfo Ruiz Cortines, Distance: 154.8 meters, Time: 111.4 seconds
Name: -, Instruction: Keep left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn sharp right onto Boulevard Adolfo Ruiz Cortines, Distance: 288.8 meters, Time: 208.0 seconds
Name: -, Instruction: Keep right, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn slight right, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
