Name: Allée Samuel Pisar, Instruction: Head southwest on Allée Samuel Pisar, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 113.1 meters, Time: 81.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 61.1 meters, Time: 44.0 seconds
Name: Rue Spontini, Instruction: Continue straight onto Rue Spontini, Distance: 43.8 meters, Time: 31.5 seconds
Name: Place du Chancelier Adenauer, Instruction: Turn left onto Place du Chancelier Adenauer, Distance: 46.3 meters, Time: 33.3 seconds
Name: Rue des Belles Feuilles, Instruction: Turn left onto Rue des Belles Feuilles, Distance: 372.5 meters, Time: 268.2 seconds
Name: Rue Saint-Didier, Instruction: Keep left onto Rue Saint-Didier, Distance: 266.7 meters, Time: 192.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight left, Distance: 142.4 meters, Time: 102.6 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
