Name: Belgravia Road, Instruction: Head north on Belgravia Road, Distance: 39.6 meters, Time: 28.5 seconds
Name: Brand Road, Instruction: Turn right onto Brand Road, Distance: 422.5 meters, Time: 304.2 seconds
Name: Elwyn Road, Instruction: Turn left onto Elwyn Road, Distance: 166.9 meters, Time: 120.2 seconds
Name: -, Instruction: Continue straight, Distance: 120.4 meters, Time: 86.7 seconds
Name: Hadji Ebrahim Crescent, Instruction: Turn left onto Hadji Ebrahim Crescent, Distance: 97.5 meters, Time: 70.2 seconds
Name: Canal Road, Instruction: Turn left onto Canal Road, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 410.1 meters, Time: 295.3 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
