Name: Rue Berenice Abbott, Instruction: Head northeast on Rue Berenice Abbott, Distance: 8.4 meters, Time: 6.1 seconds
Name: Avenue Pierre Mendès France, Instruction: Turn left onto Avenue Pierre Mendès France, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: Avenue Pierre Mendès France, Instruction: Turn left onto Avenue Pierre Mendès France, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 180.9 meters, Time: 130.2 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: Quai d'Austerlitz, Instruction: Keep right onto Quai d'Austerlitz, Distance: 273.7 meters, Time: 197.1 seconds
Name: -, Instruction: Keep right, Distance: 137.3 meters, Time: 98.8 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
