Name: Strathnairn Avenue, Instruction: Head northwest on Strathnairn Avenue, Distance: 366.1 meters, Time: 263.6 seconds
Name: -, Instruction: Turn right, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn slight right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 221.0 meters, Time: 159.2 seconds
Name: -, Instruction: Turn left, Distance: 211.0 meters, Time: 151.9 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn right, Distance: 164.7 meters, Time: 118.6 seconds
Name: Cavern Court, Instruction: Turn right onto Cavern Court, Distance: 6.3 meters, Time: 4.5 seconds
Name: Amesbury Drive, Instruction: Turn left onto Amesbury Drive, Distance: 382.7 meters, Time: 275.6 seconds
Name: Redbank Road, Instruction: Turn left onto Redbank Road, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 75.3 meters, Time: 54.2 seconds
Name: George Anderson Drive, Instruction: Turn left onto George Anderson Drive, Distance: 389.8 meters, Time: 280.7 seconds
Name: Culford Road, Instruction: Turn right onto Culford Road, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Arrive at Culford Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
