Name: Tihi Street, Instruction: Head southeast on Tihi Street, Distance: 283.3 meters, Time: 204.0 seconds
Name: Gollan Road Pedestrian Walkway, Instruction: Turn right onto Gollan Road Pedestrian Walkway, Distance: 188.2 meters, Time: 135.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight right, Distance: 93.0 meters, Time: 66.9 seconds
Name: Maungarei Memorial Drive, Instruction: Turn sharp right onto Maungarei Memorial Drive, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 243.5 meters, Time: 175.3 seconds
Name: Mountain Road, Instruction: Turn left onto Mountain Road, Distance: 497.1 meters, Time: 357.9 seconds
Name: Mountain Road, Instruction: Keep right onto Mountain Road, Distance: 14.2 meters, Time: 10.2 seconds
Name: Te Horeta Cycleway, Instruction: Turn right onto Te Horeta Cycleway, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: Te Horeta Cycleway, Instruction: Keep left onto Te Horeta Cycleway, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
