Name: Avenue de la Belle Gabrielle, Instruction: Head south on Avenue de la Belle Gabrielle, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: Carrefour de Beauté, Instruction: Turn right onto Carrefour de Beauté, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Keep right, Distance: 538.2 meters, Time: 387.5 seconds
Name: -, Instruction: Keep left, Distance: 48.3 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight left, Distance: 17.8 meters, Time: 12.8 seconds
Name: Route de la Pyramide, Instruction: Turn slight left onto Route de la Pyramide, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 403.1 meters, Time: 290.2 seconds
Name: -, Instruction: Keep left, Distance: 327.1 meters, Time: 235.5 seconds
Name: Route de la Tourelle, Instruction: Turn right onto Route de la Tourelle, Distance: 308.1 meters, Time: 221.9 seconds
Name: -, Instruction: Turn left, Distance: 119.6 meters, Time: 86.1 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 276.5 meters, Time: 199.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
